index,href,title,image
0,https://www.avito.ru/sankt-peterburg/odezhda_obuv_aksessuary/kurtka_alyaska_jaded_london_type_y2k_-_m_4531649216?slocation=621540,Куртка аляска Jaded London Type y2k - M,https://70.img.avito.st/image/1/1.ciUsibaA3sxaLCzKRNRYTzMo3MiePtrMnlm_yJ7q2j6eKtjAnCrezNw.-g9YRtmffnGmTEgWD5lRD2-M7Xm1NQWMXG2YRlo_mJI
1,https://www.avito.ru/sankt-peterburg/odezhda_obuv_aksessuary/vintazhnoe_sherstyanoe_nemetskoe_palto_-_m_4500047500?slocation=621540,Винтажное шерстяное немецкое пальто - М,https://60.img.avito.st/image/1/1.-KCAA7aAVEn2pqZP_GSWrJGiVk0ytFBJMtM1TTJgULsyoFJFMKBUSXA.4EAqsWi1iZ_JORpXbaNF20VfsIflrLygZ_0mBeBjTIM
2,https://www.avito.ru/sankt-peterburg/odezhda_obuv_aksessuary/rabochaya_kurtka_wrangler_workwear_-_l_original_4467939880?slocation=621540,Рабочая куртка Wrangler Workwear - L оригинал,https://90.img.avito.st/image/1/1.SpfLabaA5n69zBR40yAT-drI5Hp53uJ-ebmHenkK4ox5yuBye8rmfjs.eeke2hcV1b8XZkCEjPbYzBU-UfRwA9h5U-_NOi8irQ4
3,https://www.avito.ru/sankt-peterburg/odezhda_obuv_aksessuary/zhilet_result_m_original_4340378329?slocation=621540,Жилет Result M оригинал,https://10.img.avito.st/image/1/1.6Vu61raARbLMc7e05K3Jfpx3R7YIYUGyCAYktgi1QUAIdUO-CnVFsko.oslL6o0bV05z94floD0LEy2OW9WBjlZAkMHytKLTbhA
4,https://www.avito.ru/sankt-peterburg/odezhda_obuv_aksessuary/bolshoy_vybor_velvetovyh_vintazhnyh_bryuk_4500329346?slocation=621540,Большой выбор вельветовых винтажных брюк»,no_image
5,https://www.avito.ru/sankt-peterburg/odezhda_obuv_aksessuary/velvetovye_bryuki_daniels_korff_-_w36_4467925442?slocation=621540,Вельветовые брюки Daniels Korff - W36,https://10.img.avito.st/image/1/1.WmTovraA9o2eGwSL0O8ST_kf9IlaCfKNWm6XiVrd8n9aHfCBWB32jRg.JP14-XKPnCCLTGr40jtrrwQNrraZAmwDUJ58pWKoIHU
6,https://www.avito.ru/sankt-peterburg/odezhda_obuv_aksessuary/amerikanskie_gavayskie_rubashki_4115795404?slocation=621540,Американские гавайские рубашки»,https://40.img.avito.st/image/1/1.nBW0MraAMPzCl8L6gHT-SdGQMvgGhTT8BuJR-AZRNA4GkTbwBJEw_EQ.CXaDCiRpBI0UQpkp5rE_8Qu4_eUa4uHqfxkrbHUW_nY
7,https://www.avito.ru/sankt-peterburg/odezhda_obuv_aksessuary/uteplennye_rubashki_wrangler_original_4243576675?slocation=621540,Утеплённые рубашки Wrangler оригинал,no_image
8,https://www.avito.ru/sankt-peterburg/odezhda_obuv_aksessuary/vintazhnyy_sherstyanoy_sviter_mase_in_usa_-_sm_4467911586?slocation=621540,Винтажный шерстяной свитер Mase in USA - S/M,https://80.img.avito.st/image/1/1.WPRBlbaA9B03MAYbfbBB11A09hnzIvAd80WVGfP28O_zNvIR8Tb0HbE.nu-2iMScdq0rS3MbXVD9-6DRkuQq52BIUBiKUTEe8Ho
9,https://www.avito.ru/sankt-peterburg/odezhda_obuv_aksessuary/palto_vintazhnoe_sherstyanoe_hugo_boss_-_50_4532196780?slocation=621540,Пальто винтажное шерстяное Hugo Boss - 50,https://90.img.avito.st/image/1/1.p1Ct-raAC7nbX_m_75isObJbCb0fTQ-5HypqvR-ZD0sfWQ21HVkLuV0.Uc-kfO5NKlOzKp6ELYvRLjNrCJqC83XTyVnU-9SyF5Q
